"","X.2","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","max_canopy_height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"35",2683,2016,2016,"IMS","H15Sp6",2015,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,6.8,6,3.2,10,17,18,NA,6,10,8,"H15SP6",130.56,6,8,NA,4.6,"Northern"
"36",89,89,89,"IMS","H15Sp8",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,17,NA,NA,NA,30,28,21,11,9,12,"H15SP8",NA,1,10.6666666666667,26.3333333333333,NA,"Northern"
"37",90,90,90,"CF","H15Sp9",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,31.3,NA,NA,NA,33,36,42,27,9,NA,"H15SP9",NA,1,NA,37,NA,"Northern"
"38",307,307,307,"SW","H15Sr12",2015,"Salix richardsonii","Qikiqtaruk","2017-08-13",8,13,2017,1,NA,NA,NA,NA,NA,NA,31,15,NA,"H15SR12",NA,2,NA,NA,NA,"Northern"
"39",830,830,830,"SW","H15Sr13",2015,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,4.3,NA,NA,NA,NA,NA,NA,6.55,NA,NA,"H15SR13",NA,3,NA,NA,NA,"Northern"
"40",2686,2019,2019,"SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,7.5,12,9.4,9,18,21,19,17,21,10,"H15SR19",846,6,16,19.3333333333333,10.7,"Northern"
"41",837,837,837,"SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,9.2,NA,NA,NA,12.55,11.85,12.9,9.42,5.84,7.09,"H15SR20",NA,3,7.45,12.4333333333333,NA,"Northern"
"42",3111,3111,3111,"AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,6.4,9,6.5,5,26,20,21,11,16,20,"H15SR29",374.4,7,15.6666666666667,22.3333333333333,7.75,"Northern"
"43",110,110,110,"LB","H15Sr3",2015,"Salix richardsonii","Qikiqtaruk","2016-08-11",8,11,2016,1.7,NA,NA,NA,11,16,NA,14,NA,NA,"H15SR3",NA,1,NA,NA,NA,"Northern"
"44",2951,2951,2951,"LB","H15Sr5",2015,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,18,17,14,12,30,22,15,17,10,NA,"H15SR5",4284,7,NA,22.3333333333333,15.5,"Northern"
"45",3042,3042,3042,"JA","H17Sa10",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,6,17.5,17,12,36,41,33,22,10,27,"H17SA10",1785,5,19.6666666666667,36.6666666666667,17.25,"Northern"
"46",1409,1409,1409,"SAB","H17Sa12",2017,"Salix arctica","Qikiqtaruk","2019-08-23",8,23,2019,4.2,NA,NA,NA,29.21,24.92,19.79,17.42,6.76,NA,"H17SA12",NA,2,NA,24.64,NA,"Northern"
"47",1411,1411,1411,"SAB","H17Sa14",2017,"Salix arctica","Qikiqtaruk","2019-08-23",8,23,2019,3.2,NA,NA,NA,24.59,NA,NA,15.3,8.92,NA,"H17SA14",NA,2,NA,NA,NA,"Northern"
"48",3104,3104,3104,"SAB","H17Sa15",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,7,18.5,14,9,38,31,34,13,27,25,"H17SA15",1813,5,21.6666666666667,34.3333333333333,16.25,"Northern"
"49",859,859,859,"JB","H17Sa17",2017,"Salix arctica","Qikiqtaruk","2018-08-18",8,18,2018,3.4,NA,NA,NA,27.34,16.27,14.65,3.89,2.39,3.89,"H17SA17",NA,1,3.39,19.42,NA,"Northern"
"50",3158,3158,3158,"JB","H17Sa18",2017,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,10,47,25,16,49,32,36,40,28,26,"H17SA18",11750,5,31.3333333333333,39,36,"Northern"
"51",2695,2028,2028,"JB","H17Sa20",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.1,35,30.5,14,39,36,34,22,14,12,"H17SA20",4376.75,4,16,36.3333333333333,32.75,"Northern"
"52",863,863,863,"JA","H17Sa3",2017,"Salix arctica","Qikiqtaruk","2018-08-18",8,18,2018,1.8,NA,NA,NA,22.18,11.43,NA,6.07,3.42,NA,"H17SA3",NA,1,NA,NA,NA,"Northern"
"53",2696,2029,2029,"JA","H17Sa6",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,5.5,25,16.5,7,51,58,59,16,21,26,"H17SA6",2268.75,4,21,56,20.75,"Northern"
"54",2697,2030,2030,"JA","H17Sa8",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.4,16.5,12.5,9,24,23,24,6,5,10,"H17SA8",907.5,4,7,23.6666666666667,14.5,"Northern"
"55",2698,2031,2031,"JA","H17Sa9",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,7.8,15,20.5,6,33,35,28,6,7,5,"H17SA9",2398.5,4,6,32,17.75,"Northern"
"56",871,871,871,"AB","H17Sp10",2017,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,11.8,NA,NA,NA,24.57,25.04,21.98,5.56,4.35,2.06,"H17SP10",NA,1,3.99,23.8633333333333,NA,"Northern"
"57",873,873,873,"AB","H17Sp12",2017,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,5.3,NA,NA,NA,21.45,13.96,15.51,6.05,4.47,4.5,"H17SP12",NA,1,5.00666666666667,16.9733333333333,NA,"Northern"
"58",874,874,874,"AB","H17Sp13",2017,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,24.6,NA,NA,NA,20.81,17.54,16.59,4.46,3.86,2.88,"H17SP13",NA,1,3.73333333333333,18.3133333333333,NA,"Northern"
"59",875,875,875,"AB","H17Sp14",2017,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,23.3,NA,NA,NA,12.6,15.19,11.03,1.91,2,0.86,"H17SP14",NA,1,1.59,12.94,NA,"Northern"
"60",2087,2345,2345,"AB","H17Sp15",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,9,4.5,3.4,10.17,16.15,9.11,7.98,11.14,12.28,18.24,"H17SP15",137.7,3,13.8866666666667,11.08,3.95,"Northern"
