"","...1","...2","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.1","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","cover","cover_percent","biomass_per_m2","biomass_error_high","biomass_error_low"
"85",274,2511,"JG",2016,"Salix pulchra","Common_garden",NA,8,17,2022,20,31,30,25,25,25,23,63,47,25,"KP16SP60",6,45,24.3333333333333,30.5,"Southern",3048,NA,NA,NA,NA,NA,NA,NA,NA,0.093,9.3,190.488,204.078,176.898
"86",282,2519,"MG",2013,"Salix pulchra","Common_garden",NA,8,17,2022,9,24,18,22,46,34,50,24,45,71,"KLSPC8",9,46.6666666666667,43.3333333333333,21,"Southern",3056,NA,NA,NA,NA,NA,NA,NA,NA,0.0432,4.32,88.1712,101.7612,74.5812
"87",283,2520,"MG",2013,"Salix pulchra","Common_garden",NA,8,17,2022,21,44,32,13,35,21,44,7,17,66,"KLSPC9",9,30,33.3333333333333,38,"Southern",3057,NA,NA,NA,NA,NA,NA,NA,NA,0.1408,14.08,278.3728,291.9628,264.7828
"88",284,2522,"MG",2013,"Salix pulchra","Common_garden",NA,8,17,2022,38,96,63,45,31,38,48,260,220,20,"KLSPE12",9,166.666666666667,39,79.5,"Southern",3059,NA,NA,NA,NA,NA,NA,NA,NA,0.6048,60.48,1139.3568,1152.9468,1125.7668
"89",285,2523,"MG",2013,"Salix pulchra","Common_garden",NA,8,17,2022,54,85,72,16,72,64,73,230,300,450,"KLSPE14",9,326.666666666667,69.6666666666667,78.5,"Southern",3060,NA,NA,NA,NA,NA,NA,NA,NA,0.612,61.2,1169.712,1183.302,1156.122
"90",298,2556,"AB",2016,"Salix pulchra","Common_garden",NA,8,17,2022,32,71,64,20,48,44,51,260,110,340,"PC16CESP7",6,236.666666666667,47.6666666666667,67.5,"Southern",3107,NA,NA,NA,NA,NA,NA,NA,NA,0.4544,45.44,859.7504,873.3404,846.1604
"91",301,2561,"AB",2016,"Salix pulchra","Common_garden",NA,8,17,2022,33,65,44,35,35,33,45,20,50,145,"KP16SP33",6,71.6666666666667,37.6666666666667,54.5,"Southern",3112,NA,NA,NA,NA,NA,NA,NA,NA,0.286,28.6,555.016,568.606,541.426
"92",308,2568,"AB",2017,"Salix pulchra","Common_garden",NA,8,17,2022,31,33,20,15,38,43,40,48,35,64,"KP17SP12",5,49,40.3333333333333,26.5,"Southern",3119,NA,NA,NA,NA,NA,NA,NA,NA,0.066,6.6,153.336,166.926,139.746
"93",309,2569,"AB",2017,"Salix pulchra","Common_garden",NA,8,17,2022,9.5,23,19,18,39,24,31,58,22,45,"KP17SP9",5,41.6666666666667,31.3333333333333,21,"Southern",3120,NA,NA,NA,NA,NA,NA,NA,NA,0.0437,4.37,89.6192,103.2092,76.0292
"94",310,2570,"AB",2017,"Salix pulchra","Common_garden",NA,8,17,2022,29,57,58,23,74,64,31,320,250,370,"PP17SP15",5,313.333333333333,56.3333333333333,57.5,"Southern",3121,NA,NA,NA,NA,NA,NA,NA,NA,0.3306,33.06,631.6896,645.2796,618.0996
