"","...1","X.2","X.1","X.x","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.y","...31","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","cover","cover_percent","biomass_per_m2","biomass_error_high","biomass_error_low"
"76",2973,2973,2973,2973,"GD",2016,"Salix richardsonii","Common_garden",NA,8,17,"2022",40,44,36,31,48,29,46,250,220,210,"KP16SR36",63360,6,226.666666666667,41,40,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1584,15.84,908.496,931.596,885.396
"77",2974,2974,2974,2974,"GD",2016,"Salix richardsonii","Common_garden",NA,8,17,"2022",83,67,68,35,34,37,41,175,560,180,"KP16SR37",378148,6,305,37.3333333333333,67.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4556,45.56,2036.164,2059.264,2013.064
"78",2975,2975,2975,2975,"GD",2016,"Salix richardsonii","Common_garden",NA,8,17,"2022",38,36,30,14,40,32,46,95,170,130,"KP16SR51",41040,6,131.666666666667,39.3333333333333,33,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108,10.8,812.52,835.62,789.42
"79",2976,2976,2976,2976,"GD",2016,"Salix richardsonii","Common_garden",NA,8,17,"2022",45,56,51.5,25,42,40,31,100,105,65,"KP16SR52",129780,6,90,37.6666666666667,53.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2884,28.84,1153.196,1176.296,1130.096
"80",2977,2977,2977,2977,"GD",2016,"Salix richardsonii","Common_garden",NA,8,17,"2022",17,40,32,18,36,26,33,120,45,90,"KP16SR53",21760,6,85,31.6666666666667,36,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128,12.8,458.32,481.42,435.22
"81",2984,2984,2984,2984,"GD",2017,"Salix richardsonii","Common_garden",NA,8,17,"2022",41,63,49,16,42,40,40,290,260,195,"PC17SR6",126567,5,248.333333333333,40.6666666666667,56,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3087,30.87,1105.353,1128.453,1082.253
"82",2985,2985,2985,2985,"GD",2017,"Salix richardsonii","Common_garden",NA,8,17,"2022",121,62,72,40,52,38,50,395,465,310,"PC17SR5",540144,5,390,46.6666666666667,67,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4464,44.64,2709.216,2732.316,2686.116
"83",2986,2986,2986,2986,"GD",2017,"Salix richardsonii","Common_garden",NA,8,17,"2022",74,63,45,15,46,44,41,410,250,145,"PC17SR4",209790,5,268.333333333333,43.6666666666667,54,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2835,28.35,1669.365,1692.465,1646.265
"84",2995,2995,2995,2995,"SW",2015,"Salix richardsonii","Common_garden",NA,8,17,"2022",21,28,19,13,45,43,27,51,53,33,"K15SSR8",11172,7,45.6666666666667,38.3333333333333,23.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0532,5.32,441.308,464.408,418.208
"85",3000,3000,3000,3000,"SW",2017,"Salix richardsonii","Common_garden",NA,8,17,"2022",15,15,10,17,39,41,35,45,13,5,"PC17SR9",2250,5,21,38.3333333333333,12.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,1.5,287.85,310.95,264.75
