"","SITE","SUBSITE","TRTMT","PLOT","YEAR","SPP","STATUS","TISSUE","X","Y","Hit.Order","Abundance","Height..cm.","X.1","X.2","unique_coords"
"2676","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",6,10,NA,2,8,"","","610"
"2691","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",7,8,NA,2,3,"","","78"
"2698","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",7,10,NA,1,5,"","","710"
"2704","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",8,2,NA,1,2,"","","82"
"2706","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",8,3,NA,1,9.5,"","","83"
"2721","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",8,9,NA,1,5,"","","89"
"2732","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",9,4,NA,1,8.5,"","","94"
"2736","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",9,5,NA,1,3.5,"","","95"
"2749","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",10,2,NA,1,4,"","","102"
"2751","QHI","HE","CTL",6,2004,"SALPUL","LIVE","LEAF",10,3,NA,3,9,"","","103"
"3016","QHI","HE","CTL",1,2009,"SALPUL","LIVE","LEAF",8,7,NA,1,6.9,"","","87"
"3032","QHI","HE","CTL",1,2009,"SALPUL","LIVE","LEAF",9,2,NA,1,8.4,"","","92"
"3050","QHI","HE","CTL",1,2009,"SALPUL","LIVE","LEAF",9,7,NA,3,13.3,"","","97"
"3076","QHI","HE","CTL",1,2009,"SALPUL","LIVE","LEAF",10,4,NA,1,3.4,"","","104"
"3422","QHI","HE","CTL",2,2009,"SALPUL","LIVE","LEAF",10,1,NA,2,6.1,"","","101"
"4638","QHI","HE","CTL",6,2009,"SALPUL","LIVE","LEAF",1,10,NA,1,10.5,"","","110"
"4771","QHI","HE","CTL",6,2009,"SALPUL","LIVE","LEAF",5,5,NA,2,12.6,"","","55"
"4975","QHI","HE","CTL",6,2009,"SALPUL","LIVE","LEAF",10,10,NA,1,2.3,"","","1010"
"9246","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",8,1,NA,1,16.2,"","","81"
"9254","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",10,1,NA,1,16.2,"","","101"
"9287","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",9,2,NA,2,11.1,"","","92"
"9290","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",10,2,NA,1,6.3,"","","102"
"9299","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",3,3,NA,3,16.4,"","","33"
"9306","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",4,3,NA,2,9.1,"","","43"
"9340","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",3,4,NA,2,8.3,"","","34"
"9362","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",10,4,NA,1,13.9,"","","104"
"9368","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",1,5,NA,1,9.2,"","","15"
"9381","QHI","HE","CTL",1,2014,"SALPUL","STANDINGDEAD","LEAF",5,5,NA,1,12.8,"","","55"
"9385","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",6,5,NA,2,11.8,"","","65"
"9401","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",10,5,NA,3,14.8,"","","105"
"9421","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",5,6,NA,2,15.9,"","","56"
"9434","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",8,6,NA,5,20,"","","86"
"9469","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",8,7,NA,1,16.2,"","","87"
"9474","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",9,7,NA,1,18.2,"","","97"
"9512","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",8,8,NA,1,20,"","","88"
