"","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","2022 Notes","mean_stem_elong","mean_leaf_length","mean_width"
"72","LB","KLSrE4",2013,"Salix richardsonii","Kluane",2022-07-10,7,10,2022,117,216,234,124,105,63,143,48,42,48,NA,103.666666666667,46,225
"73","LB","KP17Sr2",2017,"Salix richardsonii","Kluane",2022-07-10,7,10,2022,26.5,31.5,25,24,18,39,23,44,28,38,NA,26.6666666666667,36.6666666666667,28.25
"74","LB","H17Sr4",2017,"Salix richardsonii","Qikiqtaruk",2022-07-10,7,10,2022,5,17,7.5,13,13,38,27,23,21,19,NA,26,21,12.25
"75","SL","PC17Sp1",2017,"Salix pulchra","Kluane",2022-07-10,7,10,2022,21,43,35,11,320,280,110,63,42,33,NA,236.666666666667,46,39
"76","SL","KP17Sp5",2017,"Salix pulchra","Kluane",2022-07-10,7,10,2022,34.5,55,33,15,26,21,33,29,31,38,NA,26.6666666666667,32.6666666666667,44
"77","SL","H18Sp15",2018,"Salix pulchra","Qikiqtaruk",2022-07-10,7,10,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","GD","KP16Sr37",2016,"Salix richardsonii","Kluane",2022-07-10,7,10,2022,81,67,69.5,32,150,106,125,40,38,37,NA,127,38.3333333333333,68.25
"79","GD","H17Sr9",2017,"Salix richardsonii","Qikiqtaruk",2022-07-10,7,10,2022,22,29,29,14,NA,NA,NA,29,30,25,NA,NA,28,29
"80","GD","H18Sr8",2018,"Salix richardsonii","Qikiqtaruk",2022-07-10,7,10,2022,5.5,13.2,13.9,5,10,8,17,26,14,19,NA,11.6666666666667,19.6666666666667,13.55
"81","SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk",2022-07-10,7,10,2022,7.5,14,15.5,9,11,15,5,20,19,18,NA,10.3333333333333,19,14.75
"82","SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk",2022-07-10,7,10,2022,5,9.5,3.5,12,NA,NA,NA,18,21,19,NA,NA,19.3333333333333,6.5
"83","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk",2022-07-10,7,10,2022,14.5,26,20,17,5,5,NA,21,23,30,NA,NA,24.6666666666667,23
"84","SW","KLSrE6",2013,"Salix richardsonii","Kluane",2022-07-10,7,10,2022,31.5,114,104,56,22,23,27,46,29,44,NA,24,39.6666666666667,109
"85","CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk",2022-07-10,7,10,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","CF","KLSpE8",2013,"Salix pulchra","Kluane",2022-07-10,7,10,2022,25,103,26,39,20,19,72,39,39,28,NA,37,35.3333333333333,64.5
"87","CF","H17SP9",2017,"Salix pulchra","Qikiqtaruk",2022-07-10,7,10,2022,16,17,17.5,10,22,25,27,27,34,26,NA,24.6666666666667,29,17.25
"88","JA","K17Sa5",2017,"Salix arctica","Kluane",2022-07-10,7,10,2022,3,8,7.5,6,7,4,5,29,25,16,NA,5.33333333333333,23.3333333333333,7.75
"89","JA","KP17Sa4",2017,"Salix arctica","Kluane",2022-07-10,7,10,2022,4,9.3,7.5,14,8,3,3,24,25,23,NA,4.66666666666667,24,8.4
"90","JA","PC16CESa2",2016,"Salix arctica","Kluane",2022-07-10,7,10,2022,12,36,32,9,46,40,19,78,44,57,NA,35,59.6666666666667,34
"91","JA","H17Sa9",2017,"Salix arctica","Qikiqtaruk",2022-07-10,7,10,2022,7.5,25.5,27.5,9,32,35,30,28,33,30,NA,32.3333333333333,30.3333333333333,26.5
"92","JA","PC17Sa7",2017,"Salix arctica","Kluane",2022-07-10,7,10,2022,8,26,24,13,10,30,32,43,39,37,NA,24,39.6666666666667,25
"93","JA","KP18Sa4",2018,"Salix arctica","Kluane",2022-07-10,7,10,2022,3.5,10,13,8,15,10,5,45,34,32,NA,10,37,11.5
"94","JG","HE16Sp17",2016,"Salix pulchra","Qikiqtaruk",2022-07-10,7,10,2022,8,13.5,9.5,10,NA,NA,NA,23,21,15,NA,NA,19.6666666666667,11.5
"95","JG","H18Sp18",2018,"Salix pulchra","Qikiqtaruk",2022-07-10,7,10,2022,4.1,3.5,4,5,NA,NA,NA,16,15,14,NA,NA,15,3.75
"96","JG","KP18Sp4",2018,"Salix pulchra","Kluane",2022-07-10,7,10,2022,29,36,25,16,160,230,370,63,41,40,NA,253.333333333333,48,30.5
"97","JG","KP18Sp2",2018,"Salix pulchra","Kluane",2022-07-10,7,10,2022,54,56.5,54,12,97,190,45,40,21,42,NA,110.666666666667,34.3333333333333,55.25
"98","JG","KP18Sp1",2018,"Salix pulchra","Kluane",2022-07-10,7,10,2022,27.5,41.5,46.5,15,60,165,71,31,44,45,NA,98.6666666666667,40,44
"99","JG","H18Sp16",2018,"Salix pulchra","Qikiqtaruk",2022-07-10,7,10,2022,11.5,8.2,5.5,4,12,9,NA,29,21,24,NA,NA,24.6666666666667,6.85
"100","MG","KLSpE11",2013,"Salix pulchra","Kluane",2022-07-10,7,10,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","MG","KLSpE12",2013,"Salix pulchra","Kluane",2022-07-10,7,10,2022,38.5,96,46,16,27,44,77,34,27,30,NA,49.3333333333333,30.3333333333333,71
"102","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk",2022-07-10,7,10,2022,5,8,5.5,10,NA,NA,NA,17,6,15,NA,NA,12.6666666666667,6.75
"103","IR","KLSrC10",2013,"Salix richardsonii","Kluane",2022-07-10,7,10,2022,107,153,171,91,79,75,30,46,45,35,NA,61.3333333333333,42,162
"104","IR","KLSrE14",2013,"Salix richardsonii","Kluane",2022-07-10,7,10,2022,50,98,43,32,11,19,17,41,47,42,NA,15.6666666666667,43.3333333333333,70.5
"105","IR","KLSrE15",2013,"Salix richardsonii","Kluane",2022-07-10,7,10,2022,86,155,72,38,135,200,120,46,56,50,NA,151.666666666667,50.6666666666667,113.5
"106","SAB","HE16Sa14",2016,"Salix arctica","Qikiqtaruk",2022-07-10,7,10,2022,6,21,19.5,12,13,7,25,23,20,22,NA,15,21.6666666666667,20.25
"107","SAB","H17Sa15",2017,"Salix arctica","Qikiqtaruk",2022-07-10,7,10,2022,8,17,13,6,NA,NA,NA,36,35,26,NA,NA,32.3333333333333,15
"108","SAB","KP17Sa6",2017,"Salix arctica","Kluane",2022-07-10,7,10,2022,6.5,19,17.7,6,17,9,16,49,31,30,NA,14,36.6666666666667,18.35
"109","SAB","HE16Sa6",2016,"Salix arctica","Qikiqtaruk",2022-07-10,7,10,2022,2.5,8,8,6,6,5,8,25,24,24,NA,6.33333333333333,24.3333333333333,8
"110","SAB","HE16Sa7",2016,"Salix arctica","Qikiqtaruk",2022-07-10,7,10,2022,4,6.5,23,12,19,20,NA,35,27,32,NA,NA,31.3333333333333,14.75
"111","SAB","H18Sa8",2018,"Salix arctica","Qikiqtaruk",2022-07-10,7,10,2022,4.5,13,13,8,13,11,14,30,29,21,NA,12.6666666666667,26.6666666666667,13
"112","AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk",2022-07-10,7,10,2022,6,9,4,4,NA,NA,NA,22,21,19,NA,NA,20.6666666666667,6.5
"113","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk",2022-07-10,7,10,2022,7.5,9.5,12,12,12,21,19,21,25,18,NA,17.3333333333333,21.3333333333333,10.75
"114","AC","KLSrC13",2013,"Salix richardsonii","Kluane",2022-07-10,7,10,2022,80,129,133,85,180,150,70,40,53,57,NA,133.333333333333,50,131
"115","AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk",2022-07-10,7,10,2022,7.5,15.3,12.5,12,13,11,14,23,21,22,NA,12.6666666666667,22,13.9
"116","AB","PC16CESp7",2016,"Salix pulchra","Kluane",2022-07-10,7,10,2022,28,61.5,66,19,78,90,100,49,50,46,NA,89.3333333333333,48.3333333333333,63.75
"117","AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk",2022-07-10,7,10,2022,6,19,19.5,15,12,15,10,15,17,16,NA,12.3333333333333,16,19.25
"118","AB","HESp29",2013,"Salix pulchra","Qikiqtaruk",2022-07-10,7,10,2022,11,19.5,18,32,4,2,NA,24,29,49,NA,NA,34,18.75
"119","AB","H17Sp18",2017,"Salix pulchra","Qikiqtaruk",2022-07-10,7,10,2022,5,11.5,11.3,7,8,2,2,23,19,21,NA,4,21,11.4
"120","AB","H17Sp13",2017,"Salix pulchra","Qikiqtaruk",2022-07-10,7,10,2022,10,12,11,7,NA,NA,NA,22,20,15,NA,NA,19,11.5
"121","AB","H17Sp10",2017,"Salix pulchra","Qikiqtaruk",2022-07-10,7,10,2022,8,13,12.5,9,13,7,12,21,18,11,NA,10.6666666666667,16.6666666666667,12.75
"122","JB","H15Sa12",2015,"Salix arctica","Qikiqtaruk",2022-07-10,7,10,2022,6,18,17,22,14,19,17,23,28,37,NA,16.6666666666667,29.3333333333333,17.5
"123","JB","K15PSa9",2015,"Salix arctica","Kluane",2022-07-10,7,10,2022,8.5,36.3,35.5,17,25,23,24,87,70,65,NA,24,74,35.9
