Date & time,TMS3 number,Soil temperature -6 cm,Surface temperature,Air temperature +12 cm,period in 640 μs,error by probe,temperature correction,Volumetric soil moisture without temp correction,Vol. moisture
2021.06.25 20:15,4,241875,245625,#VALUE!,477,202,-474362,-0.041,3768.246
2021.06.25 20:30,4,24125,#VALUE!,236875,477,202,-46842,-0.041,31.579
2021.06.25 20:45,4,240625,#VALUE!,23625,477,202,-471908,-0.041,3729.061
2021.06.25 21:00,4,24,24375,23625,476,202,476,-0.041,-0.033
2021.06.25 21:15,4,24,24375,#VALUE!,476,202,476,-0.041,-0.033
2021.06.25 21:30,4,23875,243125,#VALUE!,475,202,-46361,-0.041,30.875
2021.06.25 21:45,4,23875,#VALUE!,234375,475,202,-46361,-0.041,30.875
2021.06.25 22:00,4,#VALUE!,241875,23375,475,202,#VALUE!,-0.041,#VALUE!
2021.06.25 22:15,4,#VALUE!,24125,23375,474,202,#VALUE!,-0.041,#VALUE!
2021.06.25 22:30,4,23625,24125,#VALUE!,474,202,-45875,-0.041,30.172
2021.06.25 22:45,4,23625,24,#VALUE!,474,202,-45875,-0.041,30.172
2021.06.25 23:00,4,235625,24,231875,473,202,-462256,-0.041,3576.938
2021.06.25 23:15,4,#VALUE!,239375,23125,473,202,#VALUE!,-0.041,#VALUE!
2021.06.25 23:30,4,234375,23875,23125,473,202,-459801,-0.041,3538.750
2021.06.25 23:45,4,23375,238125,23,472,202,-45394,-0.042,29.483
2021.06.26 00:00,4,233125,#VALUE!,23,472,202,-457386,-0.042,3501.396
2021.06.26 00:15,4,#VALUE!,#VALUE!,229375,472,202,#VALUE!,-0.042,#VALUE!
2021.06.26 00:30,4,231875,23625,22875,471,202,-454972,-0.042,3464.233
2021.06.26 00:45,4,23125,23625,228125,471,202,-44908,-0.042,28.795
2021.06.26 01:00,4,23125,#VALUE!,#VALUE!,471,202,-44908,-0.042,28.795
2021.06.26 01:15,4,23,#VALUE!,#VALUE!,471,202,473,-0.042,-0.033
2021.06.26 01:30,4,23,23375,22625,470,202,472,-0.042,-0.034
2021.06.26 01:45,4,22875,23375,22625,470,202,-44422,-0.042,28.115
2021.06.26 02:00,4,22875,#VALUE!,#VALUE!,469,202,-44427,-0.042,28.122
2021.06.26 02:15,4,#VALUE!,#VALUE!,#VALUE!,469,202,#VALUE!,-0.042,#VALUE!
2021.06.26 02:30,4,#VALUE!,231875,22375,469,202,#VALUE!,-0.042,#VALUE!
2021.06.26 02:45,4,226875,23125,22375,468,202,-445269,-0.042,3316.903
2021.06.26 03:00,4,22625,230625,#VALUE!,468,202,-43940,-0.042,27.450
2021.06.26 03:15,4,225625,23,#VALUE!,468,202,-442813,-0.042,3280.117
2021.06.26 03:30,4,#VALUE!,229375,221875,467,202,#VALUE!,-0.042,#VALUE!
2021.06.26 03:45,4,224375,22875,22125,467,202,-440396,-0.042,3244.119
2021.06.26 04:00,4,22375,228125,220625,467,202,-43454,-0.042,26.786
2021.06.26 04:15,4,223125,#VALUE!,22,466,202,-437978,-0.042,3208.312
2021.06.26 04:30,4,#VALUE!,226875,22,466,202,#VALUE!,-0.042,#VALUE!
2021.06.26 04:45,4,#VALUE!,22625,21875,466,202,#VALUE!,-0.042,#VALUE!
2021.06.26 05:00,4,22125,22625,21875,465,202,-42972,-0.043,26.136
2021.06.26 05:15,4,22125,#VALUE!,#VALUE!,465,202,-42972,-0.043,26.136
2021.06.26 05:30,4,22,#VALUE!,#VALUE!,465,202,469,-0.043,-0.034
2021.06.26 05:45,4,22,22375,216875,465,202,469,-0.043,-0.034
2021.06.26 06:00,4,219375,22375,21625,464,202,-430685,-0.043,3101.491
2021.06.26 06:15,4,21875,#VALUE!,21625,464,202,-42486,-0.043,25.487
2021.06.26 06:30,4,218125,#VALUE!,215625,464,202,-428228,-0.043,3065.910
2021.06.26 06:45,4,#VALUE!,22125,#VALUE!,463,202,#VALUE!,-0.043,#VALUE!
2021.06.26 07:00,4,#VALUE!,22125,#VALUE!,463,202,#VALUE!,-0.043,#VALUE!
2021.06.26 07:15,4,21625,220625,21375,463,202,-41999,-0.043,24.847
2021.06.26 07:30,4,21625,22,21375,462,202,-42004,-0.043,24.853
2021.06.26 07:45,4,21625,219375,213125,462,202,-42004,-0.043,24.853
2021.06.26 08:00,4,#VALUE!,21875,#VALUE!,462,202,#VALUE!,-0.043,#VALUE!
2021.06.26 08:15,4,#VALUE!,21875,#VALUE!,462,202,#VALUE!,-0.043,#VALUE!
2021.06.26 08:30,4,#VALUE!,218125,#VALUE!,462,202,#VALUE!,-0.043,#VALUE!
2021.06.26 08:45,4,#VALUE!,#VALUE!,#VALUE!,461,202,#VALUE!,-0.043,#VALUE!
2021.06.26 09:00,4,#VALUE!,#VALUE!,#VALUE!,461,202,#VALUE!,-0.043,#VALUE!
2021.06.26 09:15,4,214375,216875,211875,461,202,-420970,-0.043,2961.995
2021.06.26 09:30,4,214375,21625,211875,461,202,-420970,-0.043,2961.995
2021.06.26 09:45,4,21375,21625,211875,461,202,-41517,-0.043,24.220
2021.06.26 10:00,4,21375,21625,211875,460,202,-41521,-0.043,24.226
2021.06.26 10:15,4,21375,215625,211875,460,202,-41521,-0.043,24.226
2021.06.26 10:30,4,21375,#VALUE!,211875,460,202,-41521,-0.043,24.226
2021.06.26 10:45,4,21375,#VALUE!,#VALUE!,460,202,-41521,-0.043,24.226
2021.06.26 11:00,4,21375,#VALUE!,#VALUE!,460,202,-41521,-0.043,24.226
2021.06.26 11:15,4,214375,#VALUE!,#VALUE!,460,202,-421007,-0.043,2962.526
